algoritmo,n,tipo,dominio,muestra,tiempo_segundos,memoria_peak_kb
std_sort,100000,descendente,D7,c,0.000474206,14860
mergesort,100000,descendente,D7,c,0.00196706,14860
quicksort,100000,descendente,D7,c,0.00065811,14860
patiencesort,100000,descendente,D7,c,0.000402763,14860
std_sort,100000,aleatorio,D1,a,0.00169225,14860
mergesort,100000,aleatorio,D1,a,0.00338972,14860
quicksort,100000,aleatorio,D1,a,0.00205631,14860
patiencesort,100000,aleatorio,D1,a,0.002751,14860
std_sort,100000,aleatorio,D1,b,0.00177798,14860
mergesort,100000,aleatorio,D1,b,0.00354131,14860
quicksort,100000,aleatorio,D1,b,0.00199145,14860
patiencesort,100000,aleatorio,D1,b,0.00283638,14860
std_sort,100000,aleatorio,D1,c,0.00223534,14860
mergesort,100000,aleatorio,D1,c,0.00377263,14860
quicksort,100000,aleatorio,D1,c,0.00200404,14860
patiencesort,100000,aleatorio,D1,c,0.00276902,14860
std_sort,100000,aleatorio,D7,a,0.00546858,14860
mergesort,100000,aleatorio,D7,a,0.00658011,14860
quicksort,100000,aleatorio,D7,a,0.00567118,14860
patiencesort,100000,aleatorio,D7,a,0.00823026,14860
std_sort,100000,aleatorio,D7,b,0.00458455,14860
mergesort,100000,aleatorio,D7,b,0.00663187,14860
quicksort,100000,aleatorio,D7,b,0.00560362,14860
patiencesort,100000,aleatorio,D7,b,0.00943132,14860
std_sort,100000,aleatorio,D7,c,0.00470903,14860
mergesort,100000,aleatorio,D7,c,0.00672889,14860
quicksort,100000,aleatorio,D7,c,0.00567102,14860
patiencesort,100000,aleatorio,D7,c,0.00838117,14860
std_sort,10000000,ascendente,D1,a,0.0900941,87052
mergesort,10000000,ascendente,D1,a,0.256176,126112
quicksort,10000000,ascendente,D1,a,0.133499,126112
patiencesort,10000000,ascendente,D1,a,0.202362,128032
std_sort,10000000,ascendente,D1,b,0.0894936,128032
mergesort,10000000,ascendente,D1,b,0.201085,128032
quicksort,10000000,ascendente,D1,b,0.129187,128032
patiencesort,10000000,ascendente,D1,b,0.196988,128032
std_sort,10000000,ascendente,D1,c,0.0878529,128032
mergesort,10000000,ascendente,D1,c,0.215128,128032
quicksort,10000000,ascendente,D1,c,0.125125,128032
patiencesort,10000000,ascendente,D1,c,0.191734,128032
std_sort,10000000,ascendente,D7,a,0.115277,128032
mergesort,10000000,ascendente,D7,a,0.193902,128032
quicksort,10000000,ascendente,D7,a,0.132784,128032
patiencesort,10000000,ascendente,D7,a,2.16088,617344
std_sort,10000000,ascendente,D7,b,0.120085,617344
mergesort,10000000,ascendente,D7,b,0.177044,617344
quicksort,10000000,ascendente,D7,b,0.131369,617344
patiencesort,10000000,ascendente,D7,b,1.79245,617360
std_sort,10000000,ascendente,D7,c,0.117711,617360
mergesort,10000000,ascendente,D7,c,0.163325,617360
quicksort,10000000,ascendente,D7,c,0.135029,617360
patiencesort,10000000,ascendente,D7,c,1.76997,625384
std_sort,10000000,descendente,D1,a,0.0895922,625384
mergesort,10000000,descendente,D1,a,0.179031,625384
quicksort,10000000,descendente,D1,a,0.139413,625384
patiencesort,10000000,descendente,D1,a,0.0522233,625384
std_sort,10000000,descendente,D1,b,0.0912411,625384
mergesort,10000000,descendente,D1,b,0.164443,625384
quicksort,10000000,descendente,D1,b,0.137763,625384
patiencesort,10000000,descendente,D1,b,0.063918,625384
std_sort,10000000,descendente,D1,c,0.0918539,625384
mergesort,10000000,descendente,D1,c,0.174594,625384
quicksort,10000000,descendente,D1,c,0.13818,625384
patiencesort,10000000,descendente,D1,c,0.0541831,625384
std_sort,10000000,descendente,D7,a,0.0933313,625384
mergesort,10000000,descendente,D7,a,0.292528,625384
quicksort,10000000,descendente,D7,a,0.133654,625384
patiencesort,10000000,descendente,D7,a,0.0503301,625384
std_sort,10000000,descendente,D7,b,0.0985909,625384
mergesort,10000000,descendente,D7,b,0.299007,625384
quicksort,10000000,descendente,D7,b,0.133787,625384
patiencesort,10000000,descendente,D7,b,0.052073,625384
std_sort,10000000,descendente,D7,c,0.102608,625384
mergesort,10000000,descendente,D7,c,0.288889,625384
quicksort,10000000,descendente,D7,c,0.138626,625384
patiencesort,10000000,descendente,D7,c,0.0569048,625384
std_sort,10000000,aleatorio,D1,a,0.185586,625384
mergesort,10000000,aleatorio,D1,a,0.400304,625384
quicksort,10000000,aleatorio,D1,a,0.250234,625384
patiencesort,10000000,aleatorio,D1,a,0.295533,625384
std_sort,10000000,aleatorio,D1,b,0.192035,625384
mergesort,10000000,aleatorio,D1,b,0.412605,625384
quicksort,10000000,aleatorio,D1,b,0.253936,625384
patiencesort,10000000,aleatorio,D1,b,0.28744,625384
std_sort,10000000,aleatorio,D1,c,0.194694,625384
mergesort,10000000,aleatorio,D1,c,0.409843,625384
quicksort,10000000,aleatorio,D1,c,0.246133,625384
patiencesort,10000000,aleatorio,D1,c,0.290353,625384
std_sort,10000000,aleatorio,D7,a,0.627574,625384
mergesort,10000000,aleatorio,D7,a,0.994957,625384
quicksort,10000000,aleatorio,D7,a,0.776041,625384
patiencesort,10000000,aleatorio,D7,a,1.197,625384
std_sort,10000000,aleatorio,D7,b,0.649046,625384
mergesort,10000000,aleatorio,D7,b,0.967072,625384
quicksort,10000000,aleatorio,D7,b,0.765465,625384
patiencesort,10000000,aleatorio,D7,b,1.19068,625384
std_sort,10000000,aleatorio,D7,c,0.666007,625384
mergesort,10000000,aleatorio,D7,c,0.962934,625384
quicksort,10000000,aleatorio,D7,c,0.771536,625384
patiencesort,10000000,aleatorio,D7,c,1.18299,625384
